UPS,AAPL,PFE,CRM,CVS,GOOG,KO,FB,IBM,AMZN
2,104,3,11,0,35,8,53,7,57
2,100,2,10,0,41,8,64,4,43
4,99,2,3,0,32,5,49,14,55
3,154,36,4,0,36,13,48,6,64
5,120,8,9,0,32,22,22,1,93
1,90,4,2,0,25,17,23,9,104
1,92,1,4,0,33,12,17,7,89
2,71,3,7,0,20,7,35,11,87
8,339,2,5,0,38,10,23,9,57
4,178,0,10,1,28,13,39,14,68
2,144,1,4,1,28,6,26,7,64
3,143,1,6,0,27,10,33,6,61
1,179,1,6,1,30,17,51,6,73
5,245,1,2,0,31,8,41,11,79
4,166,1,2,0,38,7,34,8,80
6,139,1,9,0,35,11,38,13,76
1,112,1,10,0,33,11,45,6,49
3,95,1,4,1,24,10,42,6,59
9,70,0,5,1,28,6,39,3,55
4,74,1,4,1,20,7,40,6,48
2,88,0,4,0,35,16,24,5,41
4,75,3,6,0,29,5,36,4,49
1,77,0,5,1,24,11,18,6,63
4,110,0,2,0,24,9,25,5,36
6,83,0,1,0,33,22,21,5,42
4,66,1,5,0,36,4,13,4,50
5,59,0,5,4,18,14,7,2,35
6,64,1,9,2,28,21,18,4,41
2,72,2,3,1,20,9,18,5,39
4,71,1,5,0,59,9,28,5,48
2,53,0,1,1,41,6,14,1,31
1,61,1,3,1,97,7,25,6,35
2,73,0,2,0,61,7,26,3,32
2,71,1,1,2,105,6,15,6,36
6,66,0,0,2,52,15,16,8,37
6,42,2,3,1,30,10,20,3,62
3,59,0,2,1,23,7,13,10,41
4,39,0,3,0,26,6,19,7,51
3,49,1,1,0,43,9,13,3,65
4,51,0,5,0,24,8,17,6,39
5,44,1,2,1,41,13,14,8,56
2,45,1,7,0,24,7,24,11,42
8,36,0,4,0,33,5,19,6,62
4,36,0,7,0,20,7,8,1,46
5,34,0,1,0,21,16,10,2,46
6,45,0,5,0,34,7,9,6,62
4,45,0,1,1,39,12,17,5,41
6,42,0,0,0,41,10,9,5,40
9,61,0,3,0,48,7,16,9,47
7,50,0,2,0,28,9,17,6,48
5,43,0,2,0,32,11,17,2,43
6,46,1,5,1,26,26,22,4,41
6,41,0,0,0,18,13,13,8,55
5,61,1,2,0,17,7,13,8,90
2,171,1,2,0,25,9,15,10,79
1,95,1,2,0,25,10,7,2,57
2,60,0,5,0,32,14,29,3,43
2,65,1,4,2,94,22,62,2,39
3,55,0,0,0,39,6,26,2,57
4,58,1,2,0,23,8,28,9,56
4,51,0,2,1,73,6,85,6,102
2,48,2,4,0,31,14,70,5,85
5,42,1,2,0,30,26,36,2,79
3,35,1,0,0,35,5,39,8,82
3,37,0,2,1,23,4,28,0,60
1,35,3,2,1,49,19,40,9,47
3,33,3,3,0,187,18,176,9,43
4,44,0,1,0,203,14,205,1,49
2,93,0,3,0,175,15,164,8,60
3,107,0,2,0,112,31,116,2,55
2,67,0,3,1,22,12,14,2,63
0,77,1,1,0,24,8,23,2,57
3,42,0,2,0,12,12,18,1,61
2,41,0,4,0,26,10,17,3,59
5,41,1,1,0,16,8,18,2,35
2,61,0,1,0,14,14,19,4,69
1,44,0,2,1,19,10,18,3,48
0,27,1,0,0,21,9,21,1,47
0,37,1,1,0,18,6,21,2,44
0,36,1,0,0,12,9,15,1,47
1,49,0,2,3,25,14,11,1,51
0,36,0,2,0,17,8,22,3,54
1,41,0,1,0,21,10,13,2,41
4,32,1,2,0,18,10,5,1,53
1,50,2,1,0,22,8,18,2,49
0,43,0,2,0,23,8,16,3,23
0,50,0,2,0,26,8,14,4,31
0,47,0,3,2,33,5,19,60,38
1,50,0,3,2,26,10,14,0,57
0,45,2,2,0,16,4,7,2,56
1,56,1,2,0,15,24,17,1,70
5,40,0,1,0,7,54,10,1,57
2,32,1,0,0,14,82,12,1,64
1,57,0,1,0,11,25,23,0,79
2,73,0,2,0,31,19,11,6,65
2,49,0,2,0,15,26,16,4,70
0,59,0,1,0,15,7,8,2,51
0,140,0,3,1,15,11,14,1,43
0,56,0,8,0,25,8,11,2,60
1,44,0,7,0,34,18,9,3,49
0,38,1,6,1,20,8,6,1,37
0,37,0,3,1,15,7,12,5,54
3,28,0,7,0,16,12,20,2,58
2,30,0,3,0,18,8,5,2,67
1,32,0,4,0,6,8,8,7,72
1,38,0,2,0,10,9,11,0,49
0,47,0,2,2,20,4,14,0,45
5,31,0,5,0,14,6,8,1,48
0,30,0,1,0,11,7,8,1,29
1,26,0,0,2,27,5,13,1,23
0,20,1,0,0,7,11,13,1,26
0,36,1,2,0,21,4,12,0,28
1,28,0,4,0,16,10,7,1,27
0,23,1,2,0,20,6,17,2,18
1,15,0,0,0,11,5,18,0,37
0,25,1,2,0,11,2,16,1,35
0,20,1,0,0,21,10,11,3,25
1,19,0,0,0,16,9,10,0,28
0,19,0,5,0,16,6,7,0,27
0,18,0,0,0,16,3,11,1,35
1,21,0,1,0,18,3,6,2,41
1,17,0,2,0,10,2,12,2,34
1,11,0,5,0,13,4,6,1,42
4,32,0,8,0,21,6,13,1,58
4,13,1,0,0,18,6,25,5,59
1,13,0,1,0,11,5,12,3,27
1,31,2,0,0,17,12,7,3,49
0,23,0,0,1,19,7,13,4,52
